Date Snapshot,Rolling Sharpe Ratio
2024-05-14,1.905360587348988
2024-05-15,1.8775348107504242
2024-05-16,2.103646708254522
2024-05-17,2.2176903419535385
2024-05-20,1.835762009297459
2024-05-21,1.7574921149939908
2024-05-22,1.5783356171787806
2024-05-23,1.3923379272050023
2024-05-24,1.1429131626984361
2024-05-27,1.1505144824263083
2024-05-28,1.1160623409398631
2024-05-29,0.7602416731133291
2024-05-30,0.7322669685080764
2024-05-31,0.7517655295482106
2024-06-03,0.535059691687934
2024-06-04,0.45212238807225724
2024-06-05,0.4849760916219294
2024-06-06,0.39990406905870896
2024-06-07,0.3876529981706756
2024-06-10,0.4346304399612789
2024-06-11,0.46362601394050046
2024-06-12,0.3574846301939067
2024-06-13,0.20513635330761884
2024-06-14,0.31808877861522433
2024-06-17,0.38028032241346954
2024-06-18,0.49455346685058216
2024-06-19,0.2519726794050208
2024-06-20,-0.013199813017520523
2024-06-21,0.0014772885629980132
2024-06-24,-0.016829276511807878
2024-06-25,0.21794730112229233
2024-06-26,0.4209553462961043
2024-06-27,0.5003424563364588
2024-06-28,0.35163475000103617
2024-07-01,0.2518530062085645
2024-07-02,0.5049248528026226
2024-07-03,0.45143406238651973
2024-07-04,0.38828475656921063
2024-07-05,0.26080450476502487
2024-07-08,0.3352165600526802
2024-07-09,0.1878162155008006
2024-07-10,0.17463086310973813
2024-07-11,-0.08863870560694406
2024-07-12,-0.1988126985235279
2024-07-15,-0.19750250971879682
2024-07-16,0.21324311071643476
2024-07-17,-0.025661887797082734
2024-07-18,-0.08003049370295505
2024-07-19,-0.1772786907076345
2024-07-22,-0.3293305779915559
2024-07-23,-0.4092776631156776
2024-07-24,-0.5728055013330595
2024-07-25,-0.7906029725372075
2024-07-26,-0.8165127765843103
2024-07-29,-0.9902878560886501
2024-07-30,-1.0977142775989124
2024-07-31,-1.3046544508279907
2024-08-01,-1.3155015863220796
2024-08-02,-1.2736565221573903
2024-08-05,-1.2576625485967878
2024-08-06,-0.9786382777953586
2024-08-07,-1.0802067984219481
2024-08-08,-0.6013754194097829
2024-08-09,-0.2795457055813187
2024-08-12,-0.18575126431096875
2024-08-13,-0.4384947029086065
2024-08-14,-0.4409485316614871
2024-08-15,-0.322727287203276
2024-08-16,-0.20837712435795216
2024-08-19,-0.1865623088554541
2024-08-20,-0.40793996226576756
2024-08-21,-0.38569281167213093
2024-08-22,-0.4694606802235227
2024-08-23,-0.39907679022275583
2024-08-26,-0.25045071665591495
2024-08-27,-0.40946312490982323
2024-08-28,-0.3746934984557312
2024-08-29,0.01869198584505287
2024-08-30,0.09195440808458538
2024-09-02,0.30926520500527016
2024-09-03,0.3427712359789666
2024-09-04,0.26472039658344587
2024-09-05,0.04643741307495925
2024-09-06,-0.2070024182885032
2024-09-09,-0.1231147406059366
2024-09-10,0.018652254405025544
2024-09-11,-0.12021973215710366
2024-09-12,-0.1903004232425637
2024-09-13,-0.06962802898250012
2024-09-16,-0.017693012096740127
2024-09-17,0.09618265516581112
2024-09-18,0.23298119926003774
2024-09-19,0.346847561244797
2024-09-20,0.3738565911788176
2024-09-23,0.41438570358391924
2024-09-24,0.6407186828402573
2024-09-25,0.8612092192313039
2024-09-26,0.7210785967269813
2024-09-27,0.8313926476959831
2024-09-30,0.6995265841862077
2024-10-01,0.44982186416856307
2024-10-02,0.48872524611543905
2024-10-03,0.4754973350205945
2024-10-04,0.23205974755731287
2024-10-07,0.572730884139876
2024-10-08,0.533177707208554
2024-10-09,0.6055837535160091
2024-10-10,0.5275762288530154
2024-10-11,0.5327218721756782
2024-10-14,0.42682156730182613
2024-10-15,0.06429552250381015
2024-10-16,-0.19182621617270743
2024-10-17,-0.1542246152682008
2024-10-18,-0.15351359162588812
2024-10-21,-0.33351981128557867
2024-10-22,-0.28158031003189826
2024-10-23,-0.4243134176660815
2024-10-24,-0.2610454447627487
